artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Stephen Sanchez,"['gen z singer-songwriter', 'pop']",Until I Found You,0T5iIrXA4p5GsubkhuBIKV,90,2021,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3
AJR,['modern rock'],World's Smallest Violin,3jHBgKdLCf46aP3HRI0WYv,78,2021,0.68,0.696,5,-6.977,1,0.051,0.116,0.0,0.607,0.684,115.962,audio_features,3jHBgKdLCf46aP3HRI0WYv,spotify:track:3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/tracks/3jHBgKdLCf46aP3HRI0WYv,https://api.spotify.com/v1/audio-analysis/3jHBgKdLCf46aP3HRI0WYv,180743,4
Cafuné,['brooklyn indie'],Tek It,751srcHf5tUqcEa9pRCQwP,80,2021,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995,audio_features,751srcHf5tUqcEa9pRCQwP,spotify:track:751srcHf5tUqcEa9pRCQwP,https://api.spotify.com/v1/tracks/751srcHf5tUqcEa9pRCQwP,https://api.spotify.com/v1/audio-analysis/751srcHf5tUqcEa9pRCQwP,191823,4
Elton John,"['glam rock', 'mellow gold', 'piano rock']",Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,89,2021,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4
The Kid LAROI,"['australian hip hop', 'pop']",STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,89,2021,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
The Rare Occasions,['la indie'],Notion,0sTlGEld0h8kIPZaKDYUf4,83,2021,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,audio_features,0sTlGEld0h8kIPZaKDYUf4,spotify:track:0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/tracks/0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121,4
Tainy,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),4gzsuuZypVbxs0Af1LSZyB,88,2021,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,audio_features,4gzsuuZypVbxs0Af1LSZyB,spotify:track:4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/tracks/4gzsuuZypVbxs0Af1LSZyB,https://api.spotify.com/v1/audio-analysis/4gzsuuZypVbxs0Af1LSZyB,207301,4
Lil Nas X,"['lgbtq+ hip hop', 'pop']",INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,86,2021,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
Lil Nas X,"['lgbtq+ hip hop', 'pop']",THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,87,2021,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
Billie Eilish,"['art pop', 'electropop', 'pop']",Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,89,2021,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,audio_features,4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,298899,3
Nicky Youre,[],Sunroof,4h4QlmocP3IuwYEj2j14p8,92,2021,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,audio_features,4h4QlmocP3IuwYEj2j14p8,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/audio-analysis/4h4QlmocP3IuwYEj2j14p8,163026,4
