artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Luke Bryan,Down To One,6QpZSfLid1YZ6c01BvB5jH,65,0.62,0.776,8,-4.109,1,0.0365,0.358,4.31e-05,0.11,0.551,93.963,audio_features,6QpZSfLid1YZ6c01BvB5jH,spotify:track:6QpZSfLid1YZ6c01BvB5jH,https://api.spotify.com/v1/tracks/6QpZSfLid1YZ6c01BvB5jH,https://api.spotify.com/v1/audio-analysis/6QpZSfLid1YZ6c01BvB5jH,221633,4
Allen Watts,Another You (Mixed),04PsH83LNB46Oo33hzPvtv,15,0.447,0.999,8,-9.22,1,0.0674,0.00158,0.0104,0.53,0.459,137.95,audio_features,04PsH83LNB46Oo33hzPvtv,spotify:track:04PsH83LNB46Oo33hzPvtv,https://api.spotify.com/v1/tracks/04PsH83LNB46Oo33hzPvtv,https://api.spotify.com/v1/audio-analysis/04PsH83LNB46Oo33hzPvtv,111307,4
Jordan Davis,Almost Maybes,14JFKtBSqefxfMiKhq6JT8,66,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,audio_features,14JFKtBSqefxfMiKhq6JT8,spotify:track:14JFKtBSqefxfMiKhq6JT8,https://api.spotify.com/v1/tracks/14JFKtBSqefxfMiKhq6JT8,https://api.spotify.com/v1/audio-analysis/14JFKtBSqefxfMiKhq6JT8,179153,4
Trae,2020,0052V1yMR9k67pIo0VhOCC,1,0.766,0.257,1,-14.733,1,0.45,0.211,0.0997,0.112,0.0477,160.099,audio_features,0052V1yMR9k67pIo0VhOCC,spotify:track:0052V1yMR9k67pIo0VhOCC,https://api.spotify.com/v1/tracks/0052V1yMR9k67pIo0VhOCC,https://api.spotify.com/v1/audio-analysis/0052V1yMR9k67pIo0VhOCC,110820,4
Lil Baby,Low Down,5m0yZ33oOy0yYBtdTXuxQe,66,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,audio_features,5m0yZ33oOy0yYBtdTXuxQe,spotify:track:5m0yZ33oOy0yYBtdTXuxQe,https://api.spotify.com/v1/tracks/5m0yZ33oOy0yYBtdTXuxQe,https://api.spotify.com/v1/audio-analysis/5m0yZ33oOy0yYBtdTXuxQe,144652,4
Craig Connelly,All For Love (Mixed) - Giuseppe Ottaviani Remix,09wxSxAi0WlO4z1MSQ4kmu,16,0.368,0.969,1,-8.378,1,0.0575,8.27e-05,0.157,0.335,0.555,134.965,audio_features,09wxSxAi0WlO4z1MSQ4kmu,spotify:track:09wxSxAi0WlO4z1MSQ4kmu,https://api.spotify.com/v1/tracks/09wxSxAi0WlO4z1MSQ4kmu,https://api.spotify.com/v1/audio-analysis/09wxSxAi0WlO4z1MSQ4kmu,78213,4
YoungBoy Never Broke Again,All In,7CdoE8U5DwrwCaLoyf3ME0,66,0.511,0.654,8,-6.133,1,0.314,0.053,0.0,0.316,0.279,154.868,audio_features,7CdoE8U5DwrwCaLoyf3ME0,spotify:track:7CdoE8U5DwrwCaLoyf3ME0,https://api.spotify.com/v1/tracks/7CdoE8U5DwrwCaLoyf3ME0,https://api.spotify.com/v1/audio-analysis/7CdoE8U5DwrwCaLoyf3ME0,156663,4
Juv3y,2020 + 2,53GCHcncKVUKoOOaSkzzKe,0,0.73,0.895,6,-5.039,0,0.185,0.174,0.0,0.398,0.756,138.057,audio_features,53GCHcncKVUKoOOaSkzzKe,spotify:track:53GCHcncKVUKoOOaSkzzKe,https://api.spotify.com/v1/tracks/53GCHcncKVUKoOOaSkzzKe,https://api.spotify.com/v1/audio-analysis/53GCHcncKVUKoOOaSkzzKe,89624,4
Nate Smith,Under My Skin,3G3OwFCrkc86mMuLPOvgjc,66,0.604,0.537,8,-6.189,1,0.0346,0.131,0.0,0.163,0.48,151.757,audio_features,3G3OwFCrkc86mMuLPOvgjc,spotify:track:3G3OwFCrkc86mMuLPOvgjc,https://api.spotify.com/v1/tracks/3G3OwFCrkc86mMuLPOvgjc,https://api.spotify.com/v1/audio-analysis/3G3OwFCrkc86mMuLPOvgjc,178772,4
Elevven,One Last Time (Mixed) - Roman Messer Remix,2MwIeH57FmdRIoyxBczng0,16,0.462,0.993,6,-7.387,1,0.0632,9.53e-06,0.911,0.272,0.614,136.015,audio_features,2MwIeH57FmdRIoyxBczng0,spotify:track:2MwIeH57FmdRIoyxBczng0,https://api.spotify.com/v1/tracks/2MwIeH57FmdRIoyxBczng0,https://api.spotify.com/v1/audio-analysis/2MwIeH57FmdRIoyxBczng0,98827,4
