artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bad Bunny,Me Porto Bonito,6Sq7ltF9Qa7SNFBsV5Cogx,99,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,audio_features,6Sq7ltF9Qa7SNFBsV5Cogx,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx,178567,4
Ish Kevin,My Year (2022),4eHkG6yWQ4pD0zqVkV0R5a,21,0.521,0.683,5,-6.24,0,0.501,0.159,0.0,0.187,0.737,139.439,audio_features,4eHkG6yWQ4pD0zqVkV0R5a,spotify:track:4eHkG6yWQ4pD0zqVkV0R5a,https://api.spotify.com/v1/tracks/4eHkG6yWQ4pD0zqVkV0R5a,https://api.spotify.com/v1/audio-analysis/4eHkG6yWQ4pD0zqVkV0R5a,161808,3
Machine Gun Kelly,drug dealer (feat. Lil Wayne),4Gm1VAxKdLS9aL7bkbZZyr,68,0.633,0.717,10,-3.875,1,0.0493,0.00602,0.0,0.151,0.602,142.951,audio_features,4Gm1VAxKdLS9aL7bkbZZyr,spotify:track:4Gm1VAxKdLS9aL7bkbZZyr,https://api.spotify.com/v1/tracks/4Gm1VAxKdLS9aL7bkbZZyr,https://api.spotify.com/v1/audio-analysis/4Gm1VAxKdLS9aL7bkbZZyr,172283,4
Years & Years,Desire - Gryffin Remix,2ewen7fSmxv0DROX5DK6iM,1,0.543,0.875,10,-5.069,0,0.0514,0.0622,0.0,0.157,0.415,122.058,audio_features,2ewen7fSmxv0DROX5DK6iM,spotify:track:2ewen7fSmxv0DROX5DK6iM,https://api.spotify.com/v1/tracks/2ewen7fSmxv0DROX5DK6iM,https://api.spotify.com/v1/audio-analysis/2ewen7fSmxv0DROX5DK6iM,268840,4
Joji,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,97,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456,3
Fabio Bevere,YEAR 2022,7niIWQiDqvFvyNtRJBgjIg,0,0.809,0.548,7,-10.46,1,0.113,0.564,0.844,0.0964,0.104,120.003,audio_features,7niIWQiDqvFvyNtRJBgjIg,spotify:track:7niIWQiDqvFvyNtRJBgjIg,https://api.spotify.com/v1/tracks/7niIWQiDqvFvyNtRJBgjIg,https://api.spotify.com/v1/audio-analysis/7niIWQiDqvFvyNtRJBgjIg,308000,4
Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,98,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,audio_features,1IHWl5LamUGEuP4ozKQSXZ,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/audio-analysis/1IHWl5LamUGEuP4ozKQSXZ,243717,4
JayDream,Year 22,0htnBRfKa4pWafUTpSCP9v,10,0.718,0.524,1,-8.575,1,0.379,0.631,0.0,0.104,0.573,174.063,audio_features,0htnBRfKa4pWafUTpSCP9v,spotify:track:0htnBRfKa4pWafUTpSCP9v,https://api.spotify.com/v1/tracks/0htnBRfKa4pWafUTpSCP9v,https://api.spotify.com/v1/audio-analysis/0htnBRfKa4pWafUTpSCP9v,135048,4
Drake,Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,92,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4
2002,Summer of 300 Years,5hhw7WkW1tJ5hFVEme6Mle,31,0.22,0.111,4,-20.323,1,0.0339,0.951,0.852,0.0995,0.0901,171.957,audio_features,5hhw7WkW1tJ5hFVEme6Mle,spotify:track:5hhw7WkW1tJ5hFVEme6Mle,https://api.spotify.com/v1/tracks/5hhw7WkW1tJ5hFVEme6Mle,https://api.spotify.com/v1/audio-analysis/5hhw7WkW1tJ5hFVEme6Mle,326760,4
