artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop', 'yakut pop']",Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,3S1tTwSKIZgf4QGltFyCxM,66,2013,0.575,0.571,11,-9.291,0,0.101,0.597,0.000159,0.108,0.0614,110.993,155587,4
Trinidad James,"['atl hip hop', 'dirty south rap', 'rap', 'southern hip hop', 'trap']",All Gold Everything,0pgeVJrdNok4KhbiM58ayZ,59,2013,0.516,0.755,0,-8.868,0,0.351,0.0258,0.0,0.329,0.633,99.764,187907,4
Grouplove,"['indie poptimism', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",Ways to Go,57nNNkgk768QVXq3uHxu5e,61,2013,0.577,0.827,7,-7.54,1,0.0365,0.00338,0.000647,0.26,0.179,101.031,215520,4
Pusha T,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",Nosetalgia,7aK5rlTVxSgcqShPMI1TTH,63,2013,0.529,0.78,5,-3.932,1,0.326,0.0255,0.0,0.14,0.711,80.018,216067,4
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",No. 1 Party Anthem,5TTGoX70AFrTvuEtqHK37S,70,2013,0.505,0.698,0,-5.563,1,0.0297,0.33,0.0887,0.0966,0.599,115.013,243132,4
Ace Hood,"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Bugatti,0uFvvXbmGIXlf5ZgtHyYpf,63,2013,0.6,0.592,1,-4.947,1,0.0545,0.0191,0.0,0.0955,0.0663,130.205,269267,4
Earl Sweatshirt,"['alternative hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",Chum,6plT7nFGiXKSBP9HFSI4ef,62,2013,0.51,0.503,10,-8.756,0,0.242,0.0216,0.002,0.108,0.193,153.582,243773,4
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",W.D.Y.W.F.M?,3vooOYHU0Fi3ViCG7Ozh0Y,67,2013,0.557,0.845,8,-2.926,0,0.0346,0.0303,0.00851,0.354,0.508,123.997,259413,4
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']","Hold On, We're Going Home",6GCsFtfTR4R9Y0ECkFJhNr,58,2013,0.776,0.413,6,-7.438,0,0.0952,0.00415,2.68e-05,0.0724,0.287,100.003,227880,4
Emma Louise,"['australian indie', 'brisbane indie']",Jungle,5sAYqcQTEQbTbxdcqI4b8v,73,2013,0.698,0.642,7,-8.905,0,0.0288,0.463,0.176,0.101,0.703,125.994,202907,4
A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap']","1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",1eLU27PPFxBhbp1CBjPh9J,64,2013,0.489,0.878,2,-3.36,1,0.368,0.351,0.0,0.698,0.775,81.497,372173,4
Pierce The Veil,[],Besitos,163ZkKtGjrCU3GquoCqiZZ,61,2013,0.434,0.907,6,-3.967,1,0.0468,0.000158,2.51e-06,0.321,0.391,150.046,264658,4
Twenty One Pilots,"['modern rock', 'rock']",Guns for Hands,4RdRa3qq0GBSKjomxrkh5K,65,2013,0.684,0.858,1,-4.266,1,0.0342,0.00694,0.000167,0.0828,0.518,129.963,273336,4
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",The Walker,0Nk7bSn0MItonkR0GNs3mj,60,2013,0.77,0.801,9,-4.182,0,0.0336,0.00375,0.00281,0.0515,0.725,130.76,233133,4
Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",Shadow Moses,68osIGtVjM7QWVe6pazLHj,68,2013,0.456,0.985,6,-2.949,1,0.207,0.000235,0.00368,0.103,0.183,143.006,243320,4
The Paper Kites,"['australian indie folk', 'indie folk', 'stomp and holler']",Woodland,2dm13KtTfScU9ObCzYzGyS,62,2013,0.433,0.523,0,-9.502,1,0.041,0.533,0.000112,0.162,0.374,178.299,231587,4
Earl Sweatshirt,"['alternative hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",Sunday (feat. Frank Ocean),0fAehaneUJdlSlWXYe1KZp,62,2013,0.716,0.568,2,-8.904,1,0.212,0.278,1.98e-06,0.385,0.905,136.894,205800,4
Wale,"['gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Bad (feat. Rihanna) - Remix,5yhKaacMZGRo4s6evJx9vk,62,2013,0.807,0.702,6,-6.594,0,0.0748,0.307,0.0,0.111,0.447,114.038,238827,4
Eminem,"['detroit hip hop', 'hip hop', 'rap']",Berzerk,6Xk7PnitV9jCRorWt2LiVZ,66,2013,0.739,0.872,11,-4.059,0,0.333,0.0217,0.0,0.26,0.684,95.084,238746,4
Escape the Fate,"['alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo']",One For the Money,77tR4iQgyQTAnhhuPik3ZP,65,2013,0.525,0.964,5,-3.451,0,0.0571,0.000328,5.5e-06,0.0527,0.385,90.013,199950,4
Hot Freaks,['indie pop'],I Want to Be Your Boyfriend,58wjGqSPMBTPV9Pnhru46G,65,2013,0.591,0.894,1,-2.509,1,0.0394,0.0619,1.78e-06,0.356,0.739,122.009,156787,4
Lebanon Hanover,"['dark post-punk', 'minimal wave']",Gallowdance,74SUn8w4lYSwgOGPvVZiEo,67,2013,0.705,0.766,8,-8.432,1,0.033,0.511,0.845,0.109,0.279,138.033,292600,4
Beach Fossils,"['brooklyn indie', 'chillwave', 'dream pop', 'dreamo', 'indie garage rock', 'indie rock', 'indie surf', 'popgaze', 'shoegaze']",Sleep Apnea,6XyjwF7CAwuEaW77noJr6I,63,2013,0.553,0.685,2,-10.624,1,0.0266,0.145,0.859,0.138,0.491,79.998,146293,4
Sara Bareilles,"['acoustic pop', 'hollywood', 'lilith', 'neo mellow', 'pop', 'pop rock']",I Choose You,7jJH8F3PHlNvxfqEAAfFDl,63,2013,0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,218573,4
Lil Wyte,"['country rap', 'crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'pop rap', 'redneck', 'southern hip hop', 'trap']",Band Plays On,62x93blgkWEz6Huop8eSQA,60,2013,0.802,0.794,11,-5.054,0,0.196,0.00282,0.0,0.0927,0.633,152.571,221053,4
Marc Anthony,"['latin pop', 'modern salsa', 'salsa', 'tropical']",Flor Pálida,47TyfLrGhYHHyyQWk64d0M,73,2013,0.574,0.802,7,-3.976,1,0.0316,0.659,5.07e-06,0.0765,0.739,93.537,280453,4
Joe Nichols,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']",Sunny and 75,1rGLPyb4LMojT4wpxiZTp8,60,2013,0.531,0.893,0,-4.422,1,0.055,0.184,1.01e-06,0.101,0.323,120.045,206947,4
PAW Patrol,['cartoon'],PAW Patrol Opening Theme,7n70tzvZDfdAL1j9XqsAbH,68,2013,0.552,0.909,11,-4.869,0,0.089,0.0196,0.0,0.185,0.906,110.332,40594,4
Pierce The Veil,[],Disasterology,2zcDKH43LMkNjWKDjppAd2,61,2013,0.401,0.948,8,-4.795,0,0.079,6.17e-05,1.41e-06,0.356,0.403,159.958,205347,4
Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",House of the Rising Sun,2SgQsZIWs0UC01ibNOBu7q,60,2013,0.469,0.958,4,-3.382,0,0.0849,0.00182,0.00118,0.107,0.261,76.959,247388,4
We The Kings,"['neo mellow', 'neon pop punk', 'piano rock', 'pop punk', 'pop rock', 'post-teen pop']",Sad Song (feat. Elena Coats),05CrK6Q5VGtfPDtyQFJ4Kf,69,2013,0.512,0.526,1,-5.44,1,0.0251,0.0724,0.0,0.0675,0.249,85.024,226330,4
Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",Lift Me Up,3EO0js63QHQQPqJt1TgBLQ,60,2013,0.521,0.985,4,-4.165,1,0.141,9.68e-05,0.0,0.209,0.151,75.013,246209,4
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Satellites,4B9El4lQqztivDlRUCxbZB,59,2013,0.711,0.887,10,-3.887,0,0.128,0.0453,0.0,0.164,0.77,140.02,221220,4
Rittz,"['atl hip hop', 'country rap', 'pop rap', 'southern hip hop', 'trap']",Switch Lanes,2ysVuXmtSgghzyYijfj7Od,60,2013,0.717,0.604,6,-6.602,1,0.109,0.116,9.68e-06,0.132,0.749,67.029,204270,4
Luke Bryan,"['contemporary country', 'country', 'country road']",Roller Coaster,5r00wpsojd4mBYaQFDvni7,61,2013,0.602,0.79,8,-4.46,1,0.0355,0.026,7.43e-05,0.162,0.274,108.008,259080,4
Tyler Farr,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",Redneck Crazy,4lcXNTm9JrQpJYXqsENmFI,59,2013,0.487,0.667,7,-4.216,0,0.0309,0.153,0.0,0.161,0.463,145.854,216040,4
Volbeat,"['alternative metal', 'danish metal', 'danish rock', 'nu metal']",Lola Montez,1wnq9TwifJ9ipLUFsm8vKx,60,2013,0.513,0.875,2,-4.819,1,0.0336,0.000139,3.28e-05,0.0715,0.677,151.986,267680,4
Cody Jinks,"['modern southern rock', 'outlaw country', 'texas country']",Fast Hand,5ffOXChmJBTMzgnQWZJeY4,60,2013,0.641,0.473,9,-7.857,1,0.0322,0.0378,0.000152,0.107,0.306,141.96,230827,4
Duelo,"['musica mexicana', 'norteno', 'ranchera', 'tejano']",Puño De Diamantes,1IzGf1RLpHuImi5lsCD3T9,71,2013,0.656,0.579,1,-9.298,1,0.105,0.371,0.0,0.167,0.674,157.974,192760,3
The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",Better Dig Two,3z0a8G407NbxfjTRffvQiP,59,2013,0.64,0.669,7,-5.17,1,0.0519,0.413,0.0,0.0779,0.646,155.844,194680,4
Alabama Shakes,"['alabama indie', 'modern blues rock', 'rock']",Always Alright,6ckUX8cgcqjoNGTd2A2Pvd,60,2013,0.693,0.62,9,-6.509,1,0.0424,0.784,0.844,0.112,0.571,106.346,249170,4
Ghost,"['hard rock', 'metal']",Year Zero,1YBf7Tq9bpcVwvnlP8YbQS,60,2013,0.469,0.705,7,-5.134,1,0.0458,0.0304,0.0155,0.659,0.137,122.025,350187,4
Joyce Manor,"['alternative emo', 'dreamo', 'emo', 'indie punk', 'indie rock', 'lo-fi emo', 'pop punk']",Constant Headache,6baeAT0jVAxvnLn8rIN50X,60,2013,0.41,0.892,11,-4.289,1,0.124,0.0467,0.0,0.246,0.451,99.016,184307,4
Q Lazzarus,['new romantic'],Goodbye Horses,7I5eQZFdlPV8LZWH2FeqaW,64,2013,0.772,0.409,5,-15.061,1,0.0355,0.0896,0.252,0.0522,0.495,125.476,187720,4
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'rock']",Girls,2zyz614fJRrqQXW1q0sY1c,59,2013,0.662,0.911,11,-4.985,1,0.0531,0.00395,0.00125,0.473,0.898,108.025,254620,4
Daft Punk,"['electro', 'filter house']",Lose Yourself to Dance,5CMjjywI0eZMixPeqNd75R,69,2013,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893,4
Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop', 'yakut pop']",Glory And Gore,60jI0JgMLLj1VggHJVhtRs,63,2013,0.689,0.377,1,-8.761,1,0.0397,0.285,0.0,0.268,0.294,143.946,210738,4
"Tyler, The Creator","['hip hop', 'rap']",Tamale,60b6B2ULC85t4Y5IjZvP7A,61,2013,0.742,0.93,11,-7.207,1,0.0977,0.0557,0.000242,0.272,0.967,129.986,166347,4
Josh Gad,"['hollywood', 'movie tunes', 'show tunes']","In Summer - From ""Frozen""/Soundtrack Version",7bG6SQBGZthPDG5QJL5Gf7,61,2013,0.5,0.342,7,-9.536,1,0.175,0.536,0.0,0.59,0.684,77.124,110987,1
Rocko,"['atl hip hop', 'atl trap', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","U.O.E.N.O. (feat. Rick Ross, Future)",0HFrCOmhCYXlv4NdEwRAuj,60,2013,0.422,0.641,10,-4.947,0,0.323,0.422,0.0,0.317,0.654,187.027,260276,3
Twenty One Pilots,"['modern rock', 'rock']",Fake You Out,3MLtopC0uho28PxZN7Zecy,63,2013,0.84,0.608,6,-6.176,1,0.0458,0.248,1.25e-06,0.0874,0.727,115.012,231320,4
Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Wiggle (feat. Snoop Dogg),2sLwPnIP3CUVmIuHranJZU,58,2013,0.697,0.621,9,-6.886,0,0.25,0.0802,0.0,0.162,0.721,81.946,193296,4
MAGIC!,['reggae fusion'],Rude,3tCwjWLicbjsMCvXhN0WOE,66,2013,0.743,0.807,1,-3.78,1,0.0364,0.0435,0.0,0.309,0.899,144.062,224773,4
"Tyler, The Creator","['hip hop', 'rap']","PartyIsntOver/Campfire/Bimmer (feat. Frank Ocean, feat. Laetitia Sadier, feat. Laetitia Sadier & Frank Ocean)",04QTBqa3IA4ZAKEuqRPzEH,61,2013,0.443,0.576,1,-8.695,0,0.201,0.0709,0.0197,0.41,0.127,151.835,438493,4
Jhené Aiko,"['pop', 'r&b', 'urban contemporary']",Bed Peace,5Ck3e6z1bcSCes5gdo0Ddt,62,2013,0.628,0.566,6,-7.811,1,0.0575,0.269,3.67e-05,0.135,0.299,119.859,256080,4
HAIM,['metropopolis'],The Wire,6golelYKuy85o3u0cxIxFK,58,2013,0.547,0.635,2,-5.569,1,0.137,0.0127,5.01e-06,0.0585,0.525,113.678,245293,4
Empire of the Sun,"['alternative dance', 'australian dance', 'australian electropop', 'dance rock', 'electropop', 'indietronica', 'neo-synthpop']",Alive,5WBnKCEsPwsvWHUZmLjS3s,63,2013,0.524,0.885,5,-3.079,1,0.037,0.0997,0.0,0.0708,0.395,119.954,204591,4
Car Seat Headrest,"['alternative rock', 'indie pop', 'indie rock', 'rock']",It's Only Sex,6dtPJwNdLuyVGPWyHOI6GP,62,2013,0.589,0.519,7,-8.069,1,0.0411,0.368,0.457,0.119,0.482,119.981,283000,4
Moon Taxi,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",Morocco,0ecM7uGyjgJnBliXS2fPP9,58,2013,0.617,0.892,1,-3.143,0,0.0489,0.0169,0.000202,0.224,0.596,115.082,208053,4
STRFKR,"['indie rock', 'indietronica', 'modern rock']",Golden Light,4O2aCfXPP9FfPoIPixwVBz,61,2013,0.573,0.67,8,-11.437,0,0.0331,0.52,0.806,0.321,0.159,96.991,283057,4
Fall Out Boy,"['emo', 'modern rock']",The Phoenix,53AuxddsgPSlqM619nJhSd,59,2013,0.562,0.964,4,-2.991,0,0.072,0.000539,1.57e-06,0.579,0.41,138.063,244960,4
Panic! At The Disco,['modern rock'],Nicotine,5Q4H1XkVHxQjnrHCUpS61d,62,2013,0.592,0.891,5,-4.766,0,0.0522,0.000912,0.000128,0.25,0.571,127.955,186600,4
Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow', 'pop']",Downtown,4kY7rYtE4OQkJNq22OIYRI,59,2013,0.532,0.825,9,-5.287,1,0.0468,0.18,0.0,0.296,0.96,169.961,195867,4
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",Midnight Memories,5wjmqUGN7vrAqFqDWrywlZ,69,2013,0.432,0.868,6,-2.01,0,0.0882,0.00725,0.0,0.233,0.567,156.128,176320,4
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",One For The Road,6wNUBZNWFxdUGof6vkaykE,70,2013,0.415,0.668,0,-6.849,1,0.036,0.212,0.0615,0.27,0.842,180.048,206052,4
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",Worst Behavior,48RN2EOOyG2Gs5Pyla7ZJj,59,2013,0.78,0.799,9,-6.359,1,0.15,0.158,0.0,0.209,0.414,109.944,270187,4
Rich Homie Quan,"['atl hip hop', 'atl trap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Type Of Way,0YKvEXArXE4GeGzqCsaifN,59,2013,0.854,0.75,6,-5.273,0,0.29,0.0606,0.0,0.0968,0.814,134.919,256000,4
Kit Walters,[],The Stains of Time - Maniac Agenda Mix,5LLhdR6qdQvAfSm2C0EYj4,65,2013,0.259,0.923,1,-5.53,1,0.0908,2.5e-06,0.103,0.155,0.593,199.806,130187,4
Sick Puppies,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",Gunfight,0is4yL58CcQ4Gv4WgTGr9N,62,2013,0.386,0.812,0,-5.435,1,0.054,7.19e-05,0.00036,0.0809,0.508,173.102,175720,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",My Kind of Woman - Instrumental,3RA0LaRQuDwVvDNpDtEc9b,63,2013,0.256,0.605,8,-10.94,1,0.0586,0.694,0.86,0.322,0.46,172.735,212907,4
Pierce The Veil,[],I Don't Care If You're Contagious,69okqylQdHUe90a70Q2ued,59,2013,0.362,0.934,6,-3.458,0,0.0579,0.000119,4.9e-06,0.312,0.514,166.03,205316,4
Jason Isbell,"['alternative country', 'folk', 'indie folk', 'new americana', 'roots rock', 'stomp and holler']",Cover Me Up,5qW6ZYct54PhKliCntyxRX,60,2013,0.429,0.093,3,-15.944,1,0.0433,0.882,0.00703,0.111,0.208,129.661,293973,3
Kristen Bell,"['disney', 'hollywood']","For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version",65GjU6KDPzF5IO143vvTgn,61,2013,0.362,0.338,9,-9.321,1,0.0393,0.806,0.0,0.3,0.389,93.999,149640,4
Banda El Recodo,"['banda', 'musica mexicana', 'ranchera']",Vas A Llorar Por Mí,0Ndim92MYsrFSseD9gbBcg,64,2013,0.47,0.41,0,-3.672,1,0.0335,0.59,0.0,0.088,0.848,167.658,210280,4
Jack Johnson,['neo mellow'],I Got You,12jjuxN1gxlm29cqL5M6MW,66,2013,0.899,0.399,11,-6.553,1,0.038,0.61,1.52e-05,0.0923,0.544,98.067,179347,4
Shakey Graves,"['austin americana', 'austindie', 'indie folk', 'new americana', 'stomp and holler']",Roll The Bones - Audiotree Live Version,1Yxbxg5R6dQcYmOdjvlXP0,61,2013,0.597,0.549,1,-10.253,1,0.0586,0.651,1.47e-05,0.0991,0.204,122.801,291596,4
Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",Not Gonna Die,2jfk3m8nq5IvB35s2xIs1O,66,2013,0.445,0.953,5,-2.463,0,0.0704,0.0106,0.0,0.281,0.475,172.063,225280,4
Billy Currington,"['contemporary country', 'country', 'country road']",Hey Girl,4CcrLWFQY4dRGMbUR59cSp,59,2013,0.548,0.673,1,-5.29,1,0.0268,0.0158,0.0,0.0794,0.652,81.947,200533,4
Pop Evil,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']",Trenches,3bmYpOfK6nLgr4GAtujhB8,59,2013,0.546,0.95,2,-3.805,0,0.0552,0.000158,0.00645,0.21,0.603,100.003,217876,4
Chris Young,"['contemporary country', 'country', 'country road']",Who I Am With You,4u7KjVIQPdzGCcAwg4W5Kl,59,2013,0.466,0.702,0,-4.308,1,0.032,0.0983,1.29e-05,0.242,0.47,150.309,191573,4
Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Paper Chasers,0gZWRn79KMIpNnfBN2Ifco,58,2013,0.464,0.9,2,-3.512,1,0.349,0.494,0.0,0.206,0.677,141.271,188600,4
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",Sparks Will Fly (feat. Jhené Aiko),5fBoh0hqi7shM8a8nfPnDB,60,2013,0.502,0.821,1,-6.904,0,0.23,0.0674,0.0,0.15,0.683,122.835,252053,5
Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno']",Y Me Da Vergüenza,3FR3GIiCGl3NzBYgbbpLJe,71,2013,0.796,0.561,3,-6.658,1,0.0321,0.611,0.000282,0.0659,0.961,107.943,182480,4
Avenged Sevenfold,"['alternative metal', 'nu metal']",This Means War,2NImo2MajNai4CLk35wMut,64,2013,0.614,0.914,7,-5.59,0,0.0324,0.000554,1.16e-05,0.0371,0.439,90.0,369293,4
Banda Tierra Sagrada,"['banda', 'musica mexicana', 'nueva musica mexicana', 'ranchera']",El Bueno y el Malo,0sGZWfVTPWIv6qbWZZ7cdT,67,2013,0.806,0.688,5,-5.172,1,0.0317,0.571,8.56e-06,0.239,0.973,119.959,176547,3
George Strait,"['contemporary country', 'country', 'country road', 'country rock']",Give It All We Got Tonight,19PJ75UGKjpBo0muDNyxPW,59,2013,0.577,0.649,7,-7.031,1,0.027,0.253,5.03e-06,0.0798,0.339,130.313,251333,4
Voz De Mando,"['corrido', 'musica mexicana', 'norteno', 'nueva musica mexicana', 'ranchera']",La Hummer Y El Camaro,6bRkTmvWjUr6aCXrKGIaG5,66,2013,0.788,0.785,2,-4.539,1,0.0519,0.287,0.0,0.259,0.96,127.946,211707,3
Chris Young,"['contemporary country', 'country', 'country road']",Lonely Eyes,2j79NtwxoWDmkiH4MGwdLq,59,2013,0.657,0.674,1,-5.273,1,0.0319,0.0326,1.88e-05,0.0947,0.336,106.005,217413,4
Pop Evil,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']",Torn to Pieces,0FwiglGo6kL0xLOt114SSh,59,2013,0.616,0.664,0,-5.66,1,0.0293,0.0128,8.94e-06,0.115,0.312,122.077,196258,4
Los Inquietos Del Norte,"['musica mexicana', 'norteno']",Caiga Quien Caiga,6D99PkdVSAWhcn4JxcHDGy,64,2013,0.559,0.809,8,-5.742,1,0.128,0.0846,0.0,0.171,0.876,122.92,138580,4
Calibre 50,['musica mexicana'],Javier El De Los Llanos,7kyK2NSDfRE1612vdYuqIx,67,2013,0.783,0.658,8,-5.413,1,0.0434,0.464,0.0,0.265,0.933,105.011,201600,3
Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop', 'yakut pop']",400 Lux,6rjtB7KSIiJ6v9vrACMlqF,61,2013,0.512,0.474,2,-8.36,1,0.0371,0.0787,0.00345,0.134,0.194,183.991,234286,4
will.i.am,"['dance pop', 'pop', 'pop rap']",#thatPOWER,01TuObJVd7owWchVRuQbQw,67,2013,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,279507,4
Vampire Weekend,"['baroque pop', 'indie rock', 'modern rock', 'rock']",Unbelievers,51DZ0wUocQ8sQfjnibXVcD,60,2013,0.644,0.811,11,-7.774,1,0.0517,0.149,0.000473,0.17,0.817,154.909,202667,4
The Front Bottoms,"['asbury park indie', 'emo', 'modern rock', 'new jersey indie']",Lone Star,0QEbJA017ycE5v7SExu0nT,60,2013,0.395,0.921,4,-6.041,1,0.0622,0.0647,3.47e-05,0.307,0.811,148.513,230051,4
Echosmith,['indie poptimism'],Bright,3WKg25vrbjJlkhsgl2W4p3,60,2013,0.646,0.431,6,-8.517,1,0.0262,0.637,6.99e-06,0.113,0.292,90.034,220627,4
Childish Gambino,"['atl hip hop', 'hip hop', 'pop', 'rap']",I. Flight of the Navigator,5k8eNtmqlKe21qjIFIp1Du,61,2013,0.304,0.668,1,-10.739,0,0.0439,0.0539,0.141,0.128,0.166,79.319,344143,4
Maejor,['detroit hip hop'],Lolly,2xtIAFJIMkzHGHiCrJ9iwd,65,2013,0.663,0.889,1,-2.975,1,0.303,0.0376,0.0,0.784,0.837,152.186,225507,4
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",Out of My League,2Z5wXgysowvzl0nKGNGU0t,72,2013,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4
Twenty One Pilots,"['modern rock', 'rock']",Trees,1yf97yL1ll8FYXC27c9VTw,62,2013,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,267387,4
Twenty One Pilots,"['modern rock', 'rock']",Ode to Sleep,773xZHHSHJvC1z3AAtWgH6,62,2013,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,308388,4
Erik Satie,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']",Gnossienne No. 1,5fdp9rXfEixCGLM1Og4EN1,65,2013,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4
Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'tropical']",Cómo Te Voy A Olvidar,1hxyzHlH7qS3AZdOj6GmIO,57,2013,0.647,0.469,2,-7.63,1,0.0617,0.263,4.4e-06,0.213,0.673,83.037,270893,4
Maia Wilson,[],"Fixer Upper - From ""Frozen""/Soundtrack Version",5covTs92HnHJwAWrXF7l14,60,2013,0.59,0.53,9,-6.123,1,0.127,0.441,0.0,0.0967,0.707,103.042,182107,4
Generationals,"['chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler']",Put a Light On,4ZFHITy0bAeZ3oFfvR0HaI,60,2013,0.688,0.771,1,-4.463,1,0.0291,0.056,0.000106,0.0561,0.481,100.01,226933,4
Kikuo,['japanese electropop'],君はできない子,7corSqnjU5bX09ZXy3nhVD,64,2013,0.681,0.839,9,-5.398,1,0.0286,0.0593,1.4e-05,0.119,0.758,128.018,261600,4
Ariana Grande,"['dance pop', 'pop']",Almost Is Never Enough,442j8VxaB60dWf9cBFuX5w,70,2013,0.324,0.327,2,-7.494,1,0.0409,0.825,0.0,0.101,0.334,81.328,327773,4
Fergie,"['dance pop', 'pop', 'post-teen pop', 'rap', 'urban contemporary']",A Little Party Never Killed Nobody (All We Got),1yW00C89gUWPvUh5fkyzz4,62,2013,0.749,0.635,5,-5.075,0,0.168,0.0105,2.17e-06,0.0854,0.508,130.011,240733,4
New Politics,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp pop']",Harlem,573latfTMO7SpGtStVrQx5,59,2013,0.603,0.952,6,-3.699,1,0.0947,0.00189,0.000445,0.317,0.588,133.97,163627,4
Atlas Genius,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'shimmer pop']",Trojans,0wDEiGfq4pw7FAkYKpkwMo,59,2013,0.721,0.822,7,-4.843,1,0.0391,0.0113,7.01e-05,0.0898,0.536,140.002,217387,4
2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",We Own It (Fast & Furious),00QyLmjxaSEE8qIZQjBXBj,57,2013,0.554,0.899,8,-4.573,1,0.408,0.0521,0.0,0.0568,0.552,171.966,227893,4
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Stop The World I Wanna Get Off With You,2QUlMbvD9bL8wHqfsoqoet,69,2013,0.661,0.73,6,-6.779,0,0.0574,0.0537,3.44e-05,0.14,0.53,95.027,191040,4
Cage The Elephant,"['modern rock', 'punk blues', 'rock']",Take It or Leave It,43O3Iu8mDJy10i6k8SVRXX,58,2013,0.71,0.847,0,-3.009,1,0.0892,0.0289,0.00033,0.0613,0.65,119.944,207320,4
