artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kesha,"['dance pop', 'pop', 'post-teen pop']",Die Young,7EQGXaVSyEDsCWKmUcfpLk,78,2012,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,81,2012,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,190846,4
P!nk,"['dance pop', 'pop']",Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,81,2012,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
Of Monsters and Men,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",Little Talks,2ihCaVdNZmnHZWt0fvAM7B,80,2012,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,266600,4
Pitbull,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,81,2012,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,4
Bruno Mars,"['dance pop', 'pop']",Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,86,2012,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
Pierce The Veil,[],A Match Into Water,54MXF9I8s3DuiQo3g0gZ5k,73,2012,0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,212547,4
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",Rosemary,4FEr6dIdH6EqLKR0jB560J,73,2012,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,71,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,71,2012,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,4
