artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Childish Gambino,Me and Your Mama,31tf1qEai5o5f4r66Kd0pU,84,0.554,0.433,5,-12.628,1,0.0341,0.0116,0.0449,0.0667,0.237,117.996,audio_features,31tf1qEai5o5f4r66Kd0pU,spotify:track:31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/tracks/31tf1qEai5o5f4r66Kd0pU,https://api.spotify.com/v1/audio-analysis/31tf1qEai5o5f4r66Kd0pU,379227,3
Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
The Weeknd,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,86,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,spotify:track:2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4
David Bowie,Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,63,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287,audio_features,4JRem7xHp2l0kmUvt9zCKu,spotify:track:4JRem7xHp2l0kmUvt9zCKu,https://api.spotify.com/v1/tracks/4JRem7xHp2l0kmUvt9zCKu,https://api.spotify.com/v1/audio-analysis/4JRem7xHp2l0kmUvt9zCKu,243280,4
The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,87,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,audio_features,7MXVkk9YMctZqd1Srtv4MB,spotify:track:7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,230453,4
Otmar Eros,"Year 2016:, Pt. 1",48Mk9nvXiHZ9eSDqkX8sSZ,17,0.474,0.0185,10,-31.5,1,0.0524,0.989,0.925,0.0601,0.0227,75.068,audio_features,48Mk9nvXiHZ9eSDqkX8sSZ,spotify:track:48Mk9nvXiHZ9eSDqkX8sSZ,https://api.spotify.com/v1/tracks/48Mk9nvXiHZ9eSDqkX8sSZ,https://api.spotify.com/v1/audio-analysis/48Mk9nvXiHZ9eSDqkX8sSZ,59443,3
Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,83,0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,audio_features,0wXuerDYiBnERgIpbb3JBR,spotify:track:0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/tracks/0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/audio-analysis/0wXuerDYiBnERgIpbb3JBR,326933,4
The Cars,Good Times Roll - 2016 Remaster,0nFKHCf1Ibij8m370l2KlZ,56,0.631,0.689,4,-8.358,1,0.0284,0.0731,0.000357,0.102,0.645,107.667,audio_features,0nFKHCf1Ibij8m370l2KlZ,spotify:track:0nFKHCf1Ibij8m370l2KlZ,https://api.spotify.com/v1/tracks/0nFKHCf1Ibij8m370l2KlZ,https://api.spotify.com/v1/audio-analysis/0nFKHCf1Ibij8m370l2KlZ,225227,4
Kanye West,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,81,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,audio_features,4KW1lqgSr8TKrvBII0Brf8,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,135920,4
Otmar Eros,"Year 2016:, Pt. 2",3DfKQFbKLYCnzluGint477,16,0.139,0.0829,0,-20.026,1,0.0822,0.601,0.975,0.0869,0.0363,61.692,audio_features,3DfKQFbKLYCnzluGint477,spotify:track:3DfKQFbKLYCnzluGint477,https://api.spotify.com/v1/tracks/3DfKQFbKLYCnzluGint477,https://api.spotify.com/v1/audio-analysis/3DfKQFbKLYCnzluGint477,144149,4
$uicideboy$,Antarctica,5UGAXwbA17bUC0K9uquGY2,79,0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,audio_features,5UGAXwbA17bUC0K9uquGY2,spotify:track:5UGAXwbA17bUC0K9uquGY2,https://api.spotify.com/v1/tracks/5UGAXwbA17bUC0K9uquGY2,https://api.spotify.com/v1/audio-analysis/5UGAXwbA17bUC0K9uquGY2,126850,5
Twisted Sister,We're Not Gonna Take It - 2016 Remaster,4wXcpkyBWFnM4FbVSC17HN,51,0.475,0.898,4,-9.129,1,0.0505,0.00232,0.0,0.201,0.802,149.662,audio_features,4wXcpkyBWFnM4FbVSC17HN,spotify:track:4wXcpkyBWFnM4FbVSC17HN,https://api.spotify.com/v1/tracks/4wXcpkyBWFnM4FbVSC17HN,https://api.spotify.com/v1/audio-analysis/4wXcpkyBWFnM4FbVSC17HN,218293,4
Vacations,Young,1KIJclzEbNhSVw8tiHPWwE,82,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,audio_features,1KIJclzEbNhSVw8tiHPWwE,spotify:track:1KIJclzEbNhSVw8tiHPWwE,https://api.spotify.com/v1/tracks/1KIJclzEbNhSVw8tiHPWwE,https://api.spotify.com/v1/audio-analysis/1KIJclzEbNhSVw8tiHPWwE,189160,4
Faith No More,Ashes to Ashes - 2016 Remaster,0tZ9qh1m1NGP6rzSf57PGO,54,0.572,0.81,0,-7.407,1,0.0274,8.52e-05,0.000138,0.0998,0.313,98.459,audio_features,0tZ9qh1m1NGP6rzSf57PGO,spotify:track:0tZ9qh1m1NGP6rzSf57PGO,https://api.spotify.com/v1/tracks/0tZ9qh1m1NGP6rzSf57PGO,https://api.spotify.com/v1/audio-analysis/0tZ9qh1m1NGP6rzSf57PGO,216200,4
Panic! At The Disco,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,87,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,audio_features,2DgdHcjWmO3qd50RzuBLgZ,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,https://api.spotify.com/v1/tracks/2DgdHcjWmO3qd50RzuBLgZ,https://api.spotify.com/v1/audio-analysis/2DgdHcjWmO3qd50RzuBLgZ,208707,4
6silky,2016,1CjK8oET43GS63LxGD5gL0,45,0.686,0.578,1,-8.979,0,0.0358,0.0466,0.859,0.109,0.328,137.945,audio_features,1CjK8oET43GS63LxGD5gL0,spotify:track:1CjK8oET43GS63LxGD5gL0,https://api.spotify.com/v1/tracks/1CjK8oET43GS63LxGD5gL0,https://api.spotify.com/v1/audio-analysis/1CjK8oET43GS63LxGD5gL0,126433,4
Drake,One Dance,1zi7xx7UVEFkmKfv06H8x0,85,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987,4
