artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Frank Ocean,Lost,3GZD6HmiNUhxXYf8Gch723,85,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,audio_features,3GZD6HmiNUhxXYf8Gch723,spotify:track:3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723,234093,4
David Bowie,Five Years - 2012 Remaster,1JIzFhI9Lt5FyslawmHCBi,59,0.46,0.326,7,-10.699,1,0.0417,0.142,1.01e-05,0.0449,0.321,152.531,audio_features,1JIzFhI9Lt5FyslawmHCBi,spotify:track:1JIzFhI9Lt5FyslawmHCBi,https://api.spotify.com/v1/tracks/1JIzFhI9Lt5FyslawmHCBi,https://api.spotify.com/v1/audio-analysis/1JIzFhI9Lt5FyslawmHCBi,283753,3
Kendrick Lamar,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,79,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,audio_features,2HbKqm4o0w5wEeEFXm2sD4,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,https://api.spotify.com/v1/tracks/2HbKqm4o0w5wEeEFXm2sD4,https://api.spotify.com/v1/audio-analysis/2HbKqm4o0w5wEeEFXm2sD4,386907,4
Electro Dark Project,Year 2012,6AXz0oyVU4oXh9Tb98TXMd,0,0.501,0.687,0,-4.657,1,0.0494,0.00419,3.15e-05,0.123,0.542,164.092,audio_features,6AXz0oyVU4oXh9Tb98TXMd,spotify:track:6AXz0oyVU4oXh9Tb98TXMd,https://api.spotify.com/v1/tracks/6AXz0oyVU4oXh9Tb98TXMd,https://api.spotify.com/v1/audio-analysis/6AXz0oyVU4oXh9Tb98TXMd,214164,4
Chief Keef,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,81,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,audio_features,01Lr5YepbgjXAWR9iOEyH1,spotify:track:01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1,246213,4
Jay Sean,2012 (It Ain't The End),1ERCOXHQcoLSTlgmNTlcrR,55,0.717,0.792,0,-2.703,1,0.0393,0.199,0.0,0.423,0.513,126.975,audio_features,1ERCOXHQcoLSTlgmNTlcrR,spotify:track:1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/tracks/1ERCOXHQcoLSTlgmNTlcrR,https://api.spotify.com/v1/audio-analysis/1ERCOXHQcoLSTlgmNTlcrR,222200,4
Neon Trees,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,80,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4
Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
Bruno Mars,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,86,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4
Anthem Lights,Best of 2012: Payphone / Call Me Maybe / Wide Awake / Starships / We Are Young,1dKDRs99KkNbtC9AHM7TLm,54,0.375,0.418,11,-5.999,1,0.036,0.688,0.0,0.371,0.287,136.319,audio_features,1dKDRs99KkNbtC9AHM7TLm,spotify:track:1dKDRs99KkNbtC9AHM7TLm,https://api.spotify.com/v1/tracks/1dKDRs99KkNbtC9AHM7TLm,https://api.spotify.com/v1/audio-analysis/1dKDRs99KkNbtC9AHM7TLm,209134,5
