artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Elley Duhé,"['alt z', 'pop']",MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,90,2020,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
Kali Uchis,"['colombian pop', 'pop']",telepatía,6tDDoYIxWvMLTdKpjFkc1B,83,2020,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,audio_features,6tDDoYIxWvMLTdKpjFkc1B,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,160191,4
Tame Impala,"['australian psych', 'neo-psychedelic']",One More Hour,0mO6oS60RST2sWmN2FKknP,80,2020,0.647,0.398,4,-8.63,1,0.0283,0.108,0.107,0.148,0.32,102.029,audio_features,0mO6oS60RST2sWmN2FKknP,spotify:track:0mO6oS60RST2sWmN2FKknP,https://api.spotify.com/v1/tracks/0mO6oS60RST2sWmN2FKknP,https://api.spotify.com/v1/audio-analysis/0mO6oS60RST2sWmN2FKknP,432560,4
Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",Heat Waves,6CDzDgIUqeDY5g8ujExx2f,85,2020,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,6CDzDgIUqeDY5g8ujExx2f,spotify:track:6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/tracks/6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/audio-analysis/6CDzDgIUqeDY5g8ujExx2f,238805,4
SZA,"['pop', 'r&b', 'rap']",Good Days,3YJJjQPAbDT7mGpX3WtQ9A,82,2020,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,audio_features,3YJJjQPAbDT7mGpX3WtQ9A,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/tracks/3YJJjQPAbDT7mGpX3WtQ9A,https://api.spotify.com/v1/audio-analysis/3YJJjQPAbDT7mGpX3WtQ9A,279204,4
THE ANXIETY,['modern alternative pop'],Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,81,2020,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680,4
Bad Bunny,"['reggaeton', 'trap latino']",DÁKITI,47EiUVwUp4C9fGccaPuUCS,83,2020,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4
Cardi B,"['dance pop', 'pop', 'rap']",WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,81,2020,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4
Coyote Theory,[],This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,83,2020,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283,audio_features,79EkGysjP2dL5GdpeQjRxT,spotify:track:79EkGysjP2dL5GdpeQjRxT,https://api.spotify.com/v1/tracks/79EkGysjP2dL5GdpeQjRxT,https://api.spotify.com/v1/audio-analysis/79EkGysjP2dL5GdpeQjRxT,242010,4
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,91,2020,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
"Tyler, The Creator","['hip hop', 'rap']",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,79,2020,0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,audio_features,3jHdKaLCkuNEkWcLVmQPCX,spotify:track:3jHdKaLCkuNEkWcLVmQPCX,https://api.spotify.com/v1/tracks/3jHdKaLCkuNEkWcLVmQPCX,https://api.spotify.com/v1/audio-analysis/3jHdKaLCkuNEkWcLVmQPCX,127921,3
Don Toliver,"['pop', 'rap', 'trap']",After Party,527k23H0A4Q0UJN3vGs0Da,80,2020,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,audio_features,527k23H0A4Q0UJN3vGs0Da,spotify:track:527k23H0A4Q0UJN3vGs0Da,https://api.spotify.com/v1/tracks/527k23H0A4Q0UJN3vGs0Da,https://api.spotify.com/v1/audio-analysis/527k23H0A4Q0UJN3vGs0Da,167916,4
Giveon,"['pop', 'r&b']",Heartbreak Anniversary,3FAJ6O0NOHQV8Mc5Ri6ENp,84,2020,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,audio_features,3FAJ6O0NOHQV8Mc5Ri6ENp,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/tracks/3FAJ6O0NOHQV8Mc5Ri6ENp,https://api.spotify.com/v1/audio-analysis/3FAJ6O0NOHQV8Mc5Ri6ENp,198371,3
Ariana Grande,"['dance pop', 'pop']",positions,35mvY5S1H3J2QZyna3TFe0,85,2020,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4
Hotel Ugly,[],Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx,83,2020,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,3hxIUxnT27p5WcmjGUXNwx,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4
