artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Steve Lacy,Dark Red,37y7iDayfwm3WXn5BiAoRk,87,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,audio_features,37y7iDayfwm3WXn5BiAoRk,spotify:track:37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/tracks/37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/audio-analysis/37y7iDayfwm3WXn5BiAoRk,173104,4
Schoolgirl Byebye,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,23,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893,audio_features,0UsmyJDsst2xhX1ZiFF3JW,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302,3
"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,84,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,7KA4W4McWYRpgf0fWsJZWB,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4
Mark Ronson,Uptown Funk,4rmFRTmHa2bWUmMLIRVEXQ,49,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,4rmFRTmHa2bWUmMLIRVEXQ,spotify:track:4rmFRTmHa2bWUmMLIRVEXQ,https://api.spotify.com/v1/tracks/4rmFRTmHa2bWUmMLIRVEXQ,https://api.spotify.com/v1/audio-analysis/4rmFRTmHa2bWUmMLIRVEXQ,269667,4
Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng,83,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,audio_features,0uxSUdBrJy9Un0EYoBowng,spotify:track:0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/tracks/0uxSUdBrJy9Un0EYoBowng,https://api.spotify.com/v1/audio-analysis/0uxSUdBrJy9Un0EYoBowng,220587,4
Dark.D,Year 2017,4PNPLAWzF3qCF2Z8Xur1pc,0,0.885,0.494,3,-8.004,0,0.0565,0.00107,0.664,0.0514,0.432,128.005,audio_features,4PNPLAWzF3qCF2Z8Xur1pc,spotify:track:4PNPLAWzF3qCF2Z8Xur1pc,https://api.spotify.com/v1/tracks/4PNPLAWzF3qCF2Z8Xur1pc,https://api.spotify.com/v1/audio-analysis/4PNPLAWzF3qCF2Z8Xur1pc,348755,4
Taylor Swift,Don’t Blame Me,1R0a2iXumgCiFb7HEZ7gUE,88,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,audio_features,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,236413,4
Anthem Lights,Best of 2017 Medley,2Ewbj5AO32pLLV0DJFcUdY,31,0.42,0.424,8,-7.408,0,0.0316,0.754,0.0,0.196,0.633,118.009,audio_features,2Ewbj5AO32pLLV0DJFcUdY,spotify:track:2Ewbj5AO32pLLV0DJFcUdY,https://api.spotify.com/v1/tracks/2Ewbj5AO32pLLV0DJFcUdY,https://api.spotify.com/v1/audio-analysis/2Ewbj5AO32pLLV0DJFcUdY,145961,4
Ruth B.,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,90,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,audio_features,2eAvDnpXP5W0cVtiI0PUxV,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/tracks/2eAvDnpXP5W0cVtiI0PUxV,https://api.spotify.com/v1/audio-analysis/2eAvDnpXP5W0cVtiI0PUxV,233720,3
Otmar Eros,"Year 2016:, Pt. 4",1sUxW2zAmXA7lXHC8Dxu4s,21,0.241,0.064,5,-24.272,1,0.0602,0.994,0.95,0.0715,0.0372,141.739,audio_features,1sUxW2zAmXA7lXHC8Dxu4s,spotify:track:1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/tracks/1sUxW2zAmXA7lXHC8Dxu4s,https://api.spotify.com/v1/audio-analysis/1sUxW2zAmXA7lXHC8Dxu4s,69840,4
