artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Joji,['viral pop'],YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81,2018,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,audio_features,1VGzxJnVQND7Cg5H5wGj14,spotify:track:1VGzxJnVQND7Cg5H5wGj14,https://api.spotify.com/v1/tracks/1VGzxJnVQND7Cg5H5wGj14,https://api.spotify.com/v1/audio-analysis/1VGzxJnVQND7Cg5H5wGj14,174358,4
MGMT,"['alternative dance', 'indietronica', 'modern rock', 'rock']",Little Dark Age,2Y0iGXY6m6immVb2ktbseM,82,2018,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,audio_features,2Y0iGXY6m6immVb2ktbseM,spotify:track:2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960,4
Men I Trust,['indie pop'],Show Me How,01TyFEZu6mHbffsVfxgrFn,78,2018,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,audio_features,01TyFEZu6mHbffsVfxgrFn,spotify:track:01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn,215111,4
Travis Scott,"['hip hop', 'rap', 'slap house']",SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,83,2018,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4
girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,85,2018,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,audio_features,1BYZxKSf0aTxp8ZFoeyM3d,spotify:track:1BYZxKSf0aTxp8ZFoeyM3d,https://api.spotify.com/v1/tracks/1BYZxKSf0aTxp8ZFoeyM3d,https://api.spotify.com/v1/audio-analysis/1BYZxKSf0aTxp8ZFoeyM3d,184154,4
Kali Uchis,"['colombian pop', 'pop']","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,79,2018,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,audio_features,1otG6j1WHNvl9WgXLWkHTo,spotify:track:1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/tracks/1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/audio-analysis/1otG6j1WHNvl9WgXLWkHTo,207455,4
Kanye West,"['chicago rap', 'rap']",Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,78,2018,0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,audio_features,7vgTNTaEz3CsBZ1N4YQalM,spotify:track:7vgTNTaEz3CsBZ1N4YQalM,https://api.spotify.com/v1/tracks/7vgTNTaEz3CsBZ1N4YQalM,https://api.spotify.com/v1/audio-analysis/7vgTNTaEz3CsBZ1N4YQalM,271387,4
Billie Eilish,"['art pop', 'electropop', 'pop']",lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,88,2018,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186,4
Joji,['viral pop'],SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,85,2018,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274,4
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",God's Plan,6DCZcSspjsKoFjzjrWoCdn,84,2018,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4
Sheck Wes,"['rap', 'trap', 'underground hip hop', 'vapor trap']",Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,79,2018,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,audio_features,1xzBco0xcoJEDXktl7Jxrr,spotify:track:1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,183907,4
