artist_name,artist_genre,track_name,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau,78,2012,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,audio_features,7DfFc7a6Rwfi3YQMRbDMau,spotify:track:7DfFc7a6Rwfi3YQMRbDMau,https://api.spotify.com/v1/tracks/7DfFc7a6Rwfi3YQMRbDMau,https://api.spotify.com/v1/audio-analysis/7DfFc7a6Rwfi3YQMRbDMau,200747,4
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,72,2012,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,audio_features,3TGRqZ0a2l1LRblBkJoaDx,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,193400,4
Zedd,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk pop']",Clarity,60wwxj6Dd9NJlirf84wr2c,75,2012,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,audio_features,60wwxj6Dd9NJlirf84wr2c,spotify:track:60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,https://api.spotify.com/v1/audio-analysis/60wwxj6Dd9NJlirf84wr2c,271427,4
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",We Are Young (feat. Janelle Monáe),7a86XRg84qjasly9f6bPSD,74,2012,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,audio_features,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,250627,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,74,2012,0.739,0.419,3,-8.241,0,0.0854,0.219,0.0,0.196,0.58,60.493,audio_features,0725YWm6Z0TpZ6wrNk64Eb,spotify:track:0725YWm6Z0TpZ6wrNk64Eb,https://api.spotify.com/v1/tracks/0725YWm6Z0TpZ6wrNk64Eb,https://api.spotify.com/v1/audio-analysis/0725YWm6Z0TpZ6wrNk64Eb,304760,4
Tame Impala,"['australian psych', 'neo-psychedelic']",Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,76,2012,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,audio_features,0LtOwyZoSNZKJWHqjzADpW,spotify:track:0LtOwyZoSNZKJWHqjzADpW,https://api.spotify.com/v1/tracks/0LtOwyZoSNZKJWHqjzADpW,https://api.spotify.com/v1/audio-analysis/0LtOwyZoSNZKJWHqjzADpW,192960,4
alt-J,"['indie rock', 'modern rock']",Breezeblocks,3n69hLUdIsSa1WlRmjMZlW,72,2012,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,audio_features,3n69hLUdIsSa1WlRmjMZlW,spotify:track:3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/tracks/3n69hLUdIsSa1WlRmjMZlW,https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW,227080,4
Frank Ocean,"['hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Lost,3GZD6HmiNUhxXYf8Gch723,85,2012,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,audio_features,3GZD6HmiNUhxXYf8Gch723,spotify:track:3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/tracks/3GZD6HmiNUhxXYf8Gch723,https://api.spotify.com/v1/audio-analysis/3GZD6HmiNUhxXYf8Gch723,234093,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,70,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4
Pierce The Veil,[],King For A Day,1IT0WQk5J8NsaeII8ktdlZ,79,2012,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,audio_features,1IT0WQk5J8NsaeII8ktdlZ,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,https://api.spotify.com/v1/tracks/1IT0WQk5J8NsaeII8ktdlZ,https://api.spotify.com/v1/audio-analysis/1IT0WQk5J8NsaeII8ktdlZ,236293,4
Neon Trees,"['modern alternative rock', 'modern rock', 'pop rock', 'rock']",Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,80,2012,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,audio_features,2iUmqdfGZcHIhS3b9E9EWq,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/tracks/2iUmqdfGZcHIhS3b9E9EWq,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Money Trees,2HbKqm4o0w5wEeEFXm2sD4,80,2012,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,audio_features,2HbKqm4o0w5wEeEFXm2sD4,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,https://api.spotify.com/v1/tracks/2HbKqm4o0w5wEeEFXm2sD4,https://api.spotify.com/v1/audio-analysis/2HbKqm4o0w5wEeEFXm2sD4,386907,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank),6REbwUNlppTfcnV4d4ZoZi,78,2012,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,audio_features,6REbwUNlppTfcnV4d4ZoZi,spotify:track:6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/tracks/6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/audio-analysis/6REbwUNlppTfcnV4d4ZoZi,247800,4
Imagine Dragons,"['modern rock', 'rock']",Radioactive,4G8gkOterJn0Ywt6uhqbhp,73,2012,0.448,0.784,9,-3.686,1,0.0627,0.106,0.000108,0.668,0.236,136.245,audio_features,4G8gkOterJn0Ywt6uhqbhp,spotify:track:4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/tracks/4G8gkOterJn0Ywt6uhqbhp,https://api.spotify.com/v1/audio-analysis/4G8gkOterJn0Ywt6uhqbhp,186813,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",Freaking Out the Neighborhood,3HlK8txWAdtKMrbsqX40pl,74,2012,0.565,0.832,8,-5.751,0,0.108,0.0638,0.0288,0.386,0.847,143.303,audio_features,3HlK8txWAdtKMrbsqX40pl,spotify:track:3HlK8txWAdtKMrbsqX40pl,https://api.spotify.com/v1/tracks/3HlK8txWAdtKMrbsqX40pl,https://api.spotify.com/v1/audio-analysis/3HlK8txWAdtKMrbsqX40pl,173889,4
fun.,"['baroque pop', 'metropopolis', 'modern rock', 'pop rock']",Some Nights,6t6oULCRS6hnI7rm0h5gwl,71,2012,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,audio_features,6t6oULCRS6hnI7rm0h5gwl,spotify:track:6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/tracks/6t6oULCRS6hnI7rm0h5gwl,https://api.spotify.com/v1/audio-analysis/6t6oULCRS6hnI7rm0h5gwl,277040,4
Macklemore & Ryan Lewis,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,82,2012,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,audio_features,3bidbhpOYeV4knp8AIu8Xn,spotify:track:3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,258343,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Loveeeeeee Song,3DZQ6mzUkAdHqZWzqxBKIK,72,2012,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,audio_features,3DZQ6mzUkAdHqZWzqxBKIK,spotify:track:3DZQ6mzUkAdHqZWzqxBKIK,https://api.spotify.com/v1/tracks/3DZQ6mzUkAdHqZWzqxBKIK,https://api.spotify.com/v1/audio-analysis/3DZQ6mzUkAdHqZWzqxBKIK,256320,4
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",What Makes You Beautiful,4cluDES4hQEUhmXj6TXkSo,84,2012,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,4cluDES4hQEUhmXj6TXkSo,spotify:track:4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/tracks/4cluDES4hQEUhmXj6TXkSo,https://api.spotify.com/v1/audio-analysis/4cluDES4hQEUhmXj6TXkSo,199987,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,72,2012,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,audio_features,2P3SLxeQHPqh8qKB6gtJY2,spotify:track:2P3SLxeQHPqh8qKB6gtJY2,https://api.spotify.com/v1/tracks/2P3SLxeQHPqh8qKB6gtJY2,https://api.spotify.com/v1/audio-analysis/2P3SLxeQHPqh8qKB6gtJY2,300160,4
Passenger,"['folk-pop', 'neo mellow']",Let Her Go,1KxwZYyzWNyZSRyErj2ojT,76,2012,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,audio_features,1KxwZYyzWNyZSRyErj2ojT,spotify:track:1KxwZYyzWNyZSRyErj2ojT,https://api.spotify.com/v1/tracks/1KxwZYyzWNyZSRyErj2ojT,https://api.spotify.com/v1/audio-analysis/1KxwZYyzWNyZSRyErj2ojT,252733,4
Calvin Harris,"['dance pop', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,80,2012,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413,4
Kesha,"['dance pop', 'pop', 'post-teen pop']",Die Young,7EQGXaVSyEDsCWKmUcfpLk,78,2012,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,7EQGXaVSyEDsCWKmUcfpLk,spotify:track:7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/tracks/7EQGXaVSyEDsCWKmUcfpLk,https://api.spotify.com/v1/audio-analysis/7EQGXaVSyEDsCWKmUcfpLk,211920,4
Mac DeMarco,"['edmonton indie', 'lo-fi indie']",My Kind of Woman,6jgkEbmQ2F2onEqsEhiliL,81,2012,0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.771,audio_features,6jgkEbmQ2F2onEqsEhiliL,spotify:track:6jgkEbmQ2F2onEqsEhiliL,https://api.spotify.com/v1/tracks/6jgkEbmQ2F2onEqsEhiliL,https://api.spotify.com/v1/audio-analysis/6jgkEbmQ2F2onEqsEhiliL,190846,4
P!nk,"['dance pop', 'pop']",Just Give Me a Reason (feat. Nate Ruess),1mKXFLRA179hdOWQBwUk9e,81,2012,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,audio_features,1mKXFLRA179hdOWQBwUk9e,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e,242733,4
Of Monsters and Men,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",Little Talks,2ihCaVdNZmnHZWt0fvAM7B,80,2012,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4
Pitbull,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,81,2012,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,audio_features,3cHyrEgdyYRjgJKSOiOtcS,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,https://api.spotify.com/v1/audio-analysis/3cHyrEgdyYRjgJKSOiOtcS,204160,4
Bruno Mars,"['dance pop', 'pop']",Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,86,2012,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4
Pierce The Veil,[],A Match Into Water,54MXF9I8s3DuiQo3g0gZ5k,73,2012,0.371,0.979,1,-2.701,1,0.144,0.0002,3.67e-06,0.516,0.473,196.058,audio_features,54MXF9I8s3DuiQo3g0gZ5k,spotify:track:54MXF9I8s3DuiQo3g0gZ5k,https://api.spotify.com/v1/tracks/54MXF9I8s3DuiQo3g0gZ5k,https://api.spotify.com/v1/audio-analysis/54MXF9I8s3DuiQo3g0gZ5k,212547,4
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",Rosemary,4FEr6dIdH6EqLKR0jB560J,73,2012,0.285,0.613,5,-6.412,1,0.0421,0.0185,0.1,0.114,0.0772,126.628,audio_features,4FEr6dIdH6EqLKR0jB560J,spotify:track:4FEr6dIdH6EqLKR0jB560J,https://api.spotify.com/v1/tracks/4FEr6dIdH6EqLKR0jB560J,https://api.spotify.com/v1/audio-analysis/4FEr6dIdH6EqLKR0jB560J,413347,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']","Bitch, Don’t Kill My Vibe",4Pwjz3DfvfQWV0rO2V8jyh,71,2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,4Pwjz3DfvfQWV0rO2V8jyh,spotify:track:4Pwjz3DfvfQWV0rO2V8jyh,https://api.spotify.com/v1/tracks/4Pwjz3DfvfQWV0rO2V8jyh,https://api.spotify.com/v1/audio-analysis/4Pwjz3DfvfQWV0rO2V8jyh,310720,4
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",Swimming Pools (Drank) - Extended Version,5ujh1I7NZH5agbwf7Hp8Hc,71,2012,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,audio_features,5ujh1I7NZH5agbwf7Hp8Hc,spotify:track:5ujh1I7NZH5agbwf7Hp8Hc,https://api.spotify.com/v1/tracks/5ujh1I7NZH5agbwf7Hp8Hc,https://api.spotify.com/v1/audio-analysis/5ujh1I7NZH5agbwf7Hp8Hc,313787,4
MKTO,"['dance pop', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'uk pop']",Classic,6FE2iI43OZnszFLuLtvvmg,82,2012,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,175427,4
Maroon 5,['pop'],One More Night,4XNrMwGx1SqP01sqkGTDmo,72,2012,0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,audio_features,4XNrMwGx1SqP01sqkGTDmo,spotify:track:4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/tracks/4XNrMwGx1SqP01sqkGTDmo,https://api.spotify.com/v1/audio-analysis/4XNrMwGx1SqP01sqkGTDmo,219467,4
Bruno Mars,"['dance pop', 'pop']",When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,86,2012,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,audio_features,0nJW01T7XtvILxQgC5J7Wh,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,213827,4
Lana Del Rey,"['art pop', 'pop']",Summertime Sadness,2dBwB667LHQkLhdYlwLUZK,72,2012,0.565,0.654,1,-6.826,0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,audio_features,2dBwB667LHQkLhdYlwLUZK,spotify:track:2dBwB667LHQkLhdYlwLUZK,https://api.spotify.com/v1/tracks/2dBwB667LHQkLhdYlwLUZK,https://api.spotify.com/v1/audio-analysis/2dBwB667LHQkLhdYlwLUZK,265427,4
Bruno Mars,"['dance pop', 'pop']",Treasure,55h7vJchibLdUkxdlX3fK7,80,2012,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,audio_features,55h7vJchibLdUkxdlX3fK7,spotify:track:55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/tracks/55h7vJchibLdUkxdlX3fK7,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7,178560,4
Imagine Dragons,"['modern rock', 'rock']",Demons,3LlAyCYU26dvFZBDUIMb7a,75,2012,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200,4
Pitbull,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,78,2012,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,audio_features,0Hf4aIJpsN4Os2f0y0VqWl,spotify:track:0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/tracks/0Hf4aIJpsN4Os2f0y0VqWl,https://api.spotify.com/v1/audio-analysis/0Hf4aIJpsN4Os2f0y0VqWl,229507,4
The Script,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'uk pop']",Hall of Fame (feat. will.i.am),1X1DWw2pcNZ8zSub3uhlNz,69,2012,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,audio_features,1X1DWw2pcNZ8zSub3uhlNz,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/tracks/1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/audio-analysis/1X1DWw2pcNZ8zSub3uhlNz,202533,4
MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",Bubblegum Bitch,6IbnUaczZBT34DhaD6S18F,78,2012,0.495,0.856,0,-5.123,0,0.0311,0.000219,0.0,0.103,0.609,158.024,audio_features,6IbnUaczZBT34DhaD6S18F,spotify:track:6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/tracks/6IbnUaczZBT34DhaD6S18F,https://api.spotify.com/v1/audio-analysis/6IbnUaczZBT34DhaD6S18F,154667,4
The Lumineers,"['folk-pop', 'stomp and holler']",Ho Hey,0W4Kpfp1w2xkY3PrV714B7,75,2012,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,audio_features,0W4Kpfp1w2xkY3PrV714B7,spotify:track:0W4Kpfp1w2xkY3PrV714B7,https://api.spotify.com/v1/tracks/0W4Kpfp1w2xkY3PrV714B7,https://api.spotify.com/v1/audio-analysis/0W4Kpfp1w2xkY3PrV714B7,163133,4
Rihanna,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",Stay - Album Version (Edited),789CxjEOtO76BVD1A9yJQH,71,2012,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,audio_features,789CxjEOtO76BVD1A9yJQH,spotify:track:789CxjEOtO76BVD1A9yJQH,https://api.spotify.com/v1/tracks/789CxjEOtO76BVD1A9yJQH,https://api.spotify.com/v1/audio-analysis/789CxjEOtO76BVD1A9yJQH,240707,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",I Don't Like,1h6kgem1ai8vUgO1rZOwfB,73,2012,0.742,0.844,2,-4.622,1,0.0479,0.000634,0.0,0.0659,0.416,131.986,audio_features,1h6kgem1ai8vUgO1rZOwfB,spotify:track:1h6kgem1ai8vUgO1rZOwfB,https://api.spotify.com/v1/tracks/1h6kgem1ai8vUgO1rZOwfB,https://api.spotify.com/v1/audio-analysis/1h6kgem1ai8vUgO1rZOwfB,293840,4
Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",Drive By,0KAiuUOrLTIkzkpfpn9jb9,78,2012,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973,4
Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,73,2012,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,audio_features,42zd6DYQ4o4SECmTITrM1U,spotify:track:42zd6DYQ4o4SECmTITrM1U,https://api.spotify.com/v1/tracks/42zd6DYQ4o4SECmTITrM1U,https://api.spotify.com/v1/audio-analysis/42zd6DYQ4o4SECmTITrM1U,230693,4
The Lumineers,"['folk-pop', 'stomp and holler']",Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,71,2012,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01,audio_features,3ekNuTF3UpOvIZCfiejpnC,spotify:track:3ekNuTF3UpOvIZCfiejpnC,https://api.spotify.com/v1/tracks/3ekNuTF3UpOvIZCfiejpnC,https://api.spotify.com/v1/audio-analysis/3ekNuTF3UpOvIZCfiejpnC,279000,4
Chief Keef,"['chicago bop', 'chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",Love Sosa,01Lr5YepbgjXAWR9iOEyH1,81,2012,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,audio_features,01Lr5YepbgjXAWR9iOEyH1,spotify:track:01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/tracks/01Lr5YepbgjXAWR9iOEyH1,https://api.spotify.com/v1/audio-analysis/01Lr5YepbgjXAWR9iOEyH1,246213,4
