,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
31,mysticolu,2014,7thU2r1KOPMN6e6dWWpJsp,12,0.542,0.752,5,-10.722,1,0.041,0.000717,0.704,0.268,0.124,128.007,audio_features,7thU2r1KOPMN6e6dWWpJsp,spotify:track:7thU2r1KOPMN6e6dWWpJsp,https://api.spotify.com/v1/tracks/7thU2r1KOPMN6e6dWWpJsp,https://api.spotify.com/v1/audio-analysis/7thU2r1KOPMN6e6dWWpJsp,150071,4
32,Taylor Swift,Style,4lIxdJw6W3Fg4vUIYCB0S5,74,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,audio_features,4lIxdJw6W3Fg4vUIYCB0S5,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/tracks/4lIxdJw6W3Fg4vUIYCB0S5,https://api.spotify.com/v1/audio-analysis/4lIxdJw6W3Fg4vUIYCB0S5,231000,4
33,Andrew Peterson,After the Last Tear Falls - 2014 Version,1xTyQ9qE4xFnNxTpjTMTO9,25,0.578,0.68,4,-6.382,1,0.0257,0.00125,0.000841,0.0927,0.228,104.981,audio_features,1xTyQ9qE4xFnNxTpjTMTO9,spotify:track:1xTyQ9qE4xFnNxTpjTMTO9,https://api.spotify.com/v1/tracks/1xTyQ9qE4xFnNxTpjTMTO9,https://api.spotify.com/v1/audio-analysis/1xTyQ9qE4xFnNxTpjTMTO9,273080,4
34,American Authors,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,80,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,5Hroj5K7vLpIG4FNCRIjbP,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240,4
35,Jake Scott,2014,0hkRi5B2pme6DQzeOlH6Y9,24,0.9,0.419,9,-10.667,1,0.0644,0.00887,0.0,0.114,0.78,120.026,audio_features,0hkRi5B2pme6DQzeOlH6Y9,spotify:track:0hkRi5B2pme6DQzeOlH6Y9,https://api.spotify.com/v1/tracks/0hkRi5B2pme6DQzeOlH6Y9,https://api.spotify.com/v1/audio-analysis/0hkRi5B2pme6DQzeOlH6Y9,178309,4
36,Milky Chance,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,74,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,audio_features,6vECYJHxYmm3Ydt3fF01pE,spotify:track:6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/tracks/6vECYJHxYmm3Ydt3fF01pE,https://api.spotify.com/v1/audio-analysis/6vECYJHxYmm3Ydt3fF01pE,313684,4
37,Andrew Peterson,Faith to Be Strong - 2014 Version,1wTfWD7cPnA0JXCrUHz9fX,25,0.406,0.295,4,-14.203,1,0.0349,0.793,0.0,0.0863,0.435,116.387,audio_features,1wTfWD7cPnA0JXCrUHz9fX,spotify:track:1wTfWD7cPnA0JXCrUHz9fX,https://api.spotify.com/v1/tracks/1wTfWD7cPnA0JXCrUHz9fX,https://api.spotify.com/v1/audio-analysis/1wTfWD7cPnA0JXCrUHz9fX,220840,3
38,Calvin Harris,Summer,6YUTL4dYpB9xZO5qExPf05,84,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533,4
39,Jake Scott,2014 - Acoustic,0F9qDydUs56EdJnIQABw21,21,0.772,0.212,9,-12.859,1,0.0494,0.581,0.0,0.0805,0.363,119.929,audio_features,0F9qDydUs56EdJnIQABw21,spotify:track:0F9qDydUs56EdJnIQABw21,https://api.spotify.com/v1/tracks/0F9qDydUs56EdJnIQABw21,https://api.spotify.com/v1/audio-analysis/0F9qDydUs56EdJnIQABw21,178000,4
40,Taylor Swift,Shake It Off,5xTtaWoae3wi06K5WfVUUH,74,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,audio_features,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,219200,4
41,Andrew Peterson,Holy Is the Lord - 2014 Version,77fZo3nQoye29FVUJH4KJp,25,0.508,0.224,2,-13.529,1,0.0301,0.6,7.35e-05,0.0732,0.459,73.853,audio_features,77fZo3nQoye29FVUJH4KJp,spotify:track:77fZo3nQoye29FVUJH4KJp,https://api.spotify.com/v1/tracks/77fZo3nQoye29FVUJH4KJp,https://api.spotify.com/v1/audio-analysis/77fZo3nQoye29FVUJH4KJp,208467,3
42,Mitski,First Love / Late Spring,3sslYZcFKtUvIEWN9lADgr,79,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,audio_features,3sslYZcFKtUvIEWN9lADgr,spotify:track:3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/tracks/3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/audio-analysis/3sslYZcFKtUvIEWN9lADgr,278640,4
43,Pegboard Nerds,Hero,57EbJbYiOQggoY5EWvtgba,25,0.436,0.922,11,-3.279,0,0.0627,0.00374,0.000413,0.253,0.0928,150.151,audio_features,57EbJbYiOQggoY5EWvtgba,spotify:track:57EbJbYiOQggoY5EWvtgba,https://api.spotify.com/v1/tracks/57EbJbYiOQggoY5EWvtgba,https://api.spotify.com/v1/audio-analysis/57EbJbYiOQggoY5EWvtgba,330400,4
44,Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc,85,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658,4
45,Aloe Blacc X David Correy,The World Is Ours (Coca-Cola 2014 World's Cup Anthem),48exuAFuDV7w2nkIhAOtEy,31,0.528,0.903,2,-3.935,1,0.0527,0.197,0.0,0.117,0.665,132.024,audio_features,48exuAFuDV7w2nkIhAOtEy,spotify:track:48exuAFuDV7w2nkIhAOtEy,https://api.spotify.com/v1/tracks/48exuAFuDV7w2nkIhAOtEy,https://api.spotify.com/v1/audio-analysis/48exuAFuDV7w2nkIhAOtEy,174880,4
