,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
538,Melanie Martinez,Cry Baby,052vSBPxqdmYRDlkSPiavc,69,0.686,0.691,5,-4.616,0,0.0371,0.257,0.0,0.145,0.477,95.046,audio_features,052vSBPxqdmYRDlkSPiavc,spotify:track:052vSBPxqdmYRDlkSPiavc,https://api.spotify.com/v1/tracks/052vSBPxqdmYRDlkSPiavc,https://api.spotify.com/v1/audio-analysis/052vSBPxqdmYRDlkSPiavc,239080,4
539,David Bowie,All the Madmen - 2015 Remaster,5q0rYe11PQ6e0azpSkImjm,12,0.352,0.424,11,-11.84,0,0.0397,0.146,0.0,0.066,0.181,134.382,audio_features,5q0rYe11PQ6e0azpSkImjm,spotify:track:5q0rYe11PQ6e0azpSkImjm,https://api.spotify.com/v1/tracks/5q0rYe11PQ6e0azpSkImjm,https://api.spotify.com/v1/audio-analysis/5q0rYe11PQ6e0azpSkImjm,343333,4
540,Morgan Wallen,Sleep When We're Dead,77Q8V48a8jGsghvaVNWMaP,64,0.564,0.822,10,-3.685,1,0.0329,0.0165,2.71e-06,0.377,0.695,149.988,audio_features,77Q8V48a8jGsghvaVNWMaP,spotify:track:77Q8V48a8jGsghvaVNWMaP,https://api.spotify.com/v1/tracks/77Q8V48a8jGsghvaVNWMaP,https://api.spotify.com/v1/audio-analysis/77Q8V48a8jGsghvaVNWMaP,261642,4
544,Pop Hits 2015,Watch Me (Whip/Nae Nae),0eq0nQbjunZC3ZzGvAYhqd,0,0.885,0.586,5,-8.827,0,0.163,0.0762,0.0,0.707,0.882,139.999,audio_features,0eq0nQbjunZC3ZzGvAYhqd,spotify:track:0eq0nQbjunZC3ZzGvAYhqd,https://api.spotify.com/v1/tracks/0eq0nQbjunZC3ZzGvAYhqd,https://api.spotify.com/v1/audio-analysis/0eq0nQbjunZC3ZzGvAYhqd,182137,4
545,The Neighbourhood,Cry Baby,0EfsDEYaSjGYd66Pr881nq,73,0.581,0.656,4,-4.891,0,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,audio_features,0EfsDEYaSjGYd66Pr881nq,spotify:track:0EfsDEYaSjGYd66Pr881nq,https://api.spotify.com/v1/tracks/0EfsDEYaSjGYd66Pr881nq,https://api.spotify.com/v1/audio-analysis/0EfsDEYaSjGYd66Pr881nq,235160,4
546,Grateful Dead,"Attics of My Life - Live at Soldier Field, Chicago, IL 7/5/2015",0XhjlPj5YxJ03dgMrV9BMg,6,0.345,0.179,4,-20.525,1,0.0344,0.89,0.00014,0.711,0.166,84.387,audio_features,0XhjlPj5YxJ03dgMrV9BMg,spotify:track:0XhjlPj5YxJ03dgMrV9BMg,https://api.spotify.com/v1/tracks/0XhjlPj5YxJ03dgMrV9BMg,https://api.spotify.com/v1/audio-analysis/0XhjlPj5YxJ03dgMrV9BMg,401387,4
547,Tame Impala,Yes I'm Changing,0xtIp0lgccN85GfGOekS5L,69,0.373,0.609,0,-7.0,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,audio_features,0xtIp0lgccN85GfGOekS5L,spotify:track:0xtIp0lgccN85GfGOekS5L,https://api.spotify.com/v1/tracks/0xtIp0lgccN85GfGOekS5L,https://api.spotify.com/v1/audio-analysis/0xtIp0lgccN85GfGOekS5L,270680,4
551,Black Memorial Committee,Year 2053,4BvHDJ7tZPJY8Z9BvF0vDy,1,0.234,0.0803,2,-22.875,1,0.049,0.488,0.808,0.109,0.0383,56.615,audio_features,4BvHDJ7tZPJY8Z9BvF0vDy,spotify:track:4BvHDJ7tZPJY8Z9BvF0vDy,https://api.spotify.com/v1/tracks/4BvHDJ7tZPJY8Z9BvF0vDy,https://api.spotify.com/v1/audio-analysis/4BvHDJ7tZPJY8Z9BvF0vDy,110000,4
552,Donnie Trumpet & The Social Experiment,Sunday Candy,6fTdcGsjxlAD9PSkoPaLMX,65,0.511,0.596,0,-6.56,1,0.224,0.53,0.0,0.0798,0.554,158.063,audio_features,6fTdcGsjxlAD9PSkoPaLMX,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,https://api.spotify.com/v1/tracks/6fTdcGsjxlAD9PSkoPaLMX,https://api.spotify.com/v1/audio-analysis/6fTdcGsjxlAD9PSkoPaLMX,226014,4
553,Franz von Suppé,"Ein Morgen, ein Mittag, ein Abend in Wien: Ouvertüre",5zEZ57rGQbZMEt6SeoJpCu,13,0.253,0.247,5,-16.599,1,0.0601,0.874,0.886,0.717,0.113,142.189,audio_features,5zEZ57rGQbZMEt6SeoJpCu,spotify:track:5zEZ57rGQbZMEt6SeoJpCu,https://api.spotify.com/v1/tracks/5zEZ57rGQbZMEt6SeoJpCu,https://api.spotify.com/v1/audio-analysis/5zEZ57rGQbZMEt6SeoJpCu,515107,4
554,Ben Rector,Brand New,07m8PuXxxv5J4qPEDq6ZkK,65,0.555,0.934,9,-5.04,1,0.113,0.00268,0.0,0.122,0.422,144.874,audio_features,07m8PuXxxv5J4qPEDq6ZkK,spotify:track:07m8PuXxxv5J4qPEDq6ZkK,https://api.spotify.com/v1/tracks/07m8PuXxxv5J4qPEDq6ZkK,https://api.spotify.com/v1/audio-analysis/07m8PuXxxv5J4qPEDq6ZkK,243933,4
558,Armin van Buuren,Together (In A State Of Trance),3oDKQHZVsllx06FkI20pS5,0,0.621,0.958,5,-4.847,0,0.0344,0.000253,0.844,0.102,0.504,129.986,audio_features,3oDKQHZVsllx06FkI20pS5,spotify:track:3oDKQHZVsllx06FkI20pS5,https://api.spotify.com/v1/tracks/3oDKQHZVsllx06FkI20pS5,https://api.spotify.com/v1/audio-analysis/3oDKQHZVsllx06FkI20pS5,159879,4
559,The Neighbourhood,Baby Came Home 2 / Valentines,40gvh6jP5qxMJuMmF9lG9A,71,0.21,0.499,2,-9.754,0,0.0485,0.0687,0.00315,0.773,0.108,74.094,audio_features,40gvh6jP5qxMJuMmF9lG9A,spotify:track:40gvh6jP5qxMJuMmF9lG9A,https://api.spotify.com/v1/tracks/40gvh6jP5qxMJuMmF9lG9A,https://api.spotify.com/v1/audio-analysis/40gvh6jP5qxMJuMmF9lG9A,390493,4
560,Daryl Hall & John Oates,I'm Sorry - 2015 Japanese Remaster,6Rtzx99mrKtOhP1EnCcbFT,6,0.763,0.714,6,-8.19,0,0.0281,0.364,0.0,0.0529,0.966,107.532,audio_features,6Rtzx99mrKtOhP1EnCcbFT,spotify:track:6Rtzx99mrKtOhP1EnCcbFT,https://api.spotify.com/v1/tracks/6Rtzx99mrKtOhP1EnCcbFT,https://api.spotify.com/v1/audio-analysis/6Rtzx99mrKtOhP1EnCcbFT,190493,4
561,Phillipa Soo,Burn,4B3qvzOMzLQXLeYgPsG3KA,67,0.582,0.428,2,-9.13,1,0.0516,0.752,0.0,0.102,0.255,99.608,audio_features,4B3qvzOMzLQXLeYgPsG3KA,spotify:track:4B3qvzOMzLQXLeYgPsG3KA,https://api.spotify.com/v1/tracks/4B3qvzOMzLQXLeYgPsG3KA,https://api.spotify.com/v1/audio-analysis/4B3qvzOMzLQXLeYgPsG3KA,225241,3
562,DJMashup,Headlights,0FqPAIKBcl6wEKRp44kNv4,0,0.637,0.659,11,-8.769,1,0.0314,0.0353,0.0145,0.197,0.389,122.032,audio_features,0FqPAIKBcl6wEKRp44kNv4,spotify:track:0FqPAIKBcl6wEKRp44kNv4,https://api.spotify.com/v1/tracks/0FqPAIKBcl6wEKRp44kNv4,https://api.spotify.com/v1/audio-analysis/0FqPAIKBcl6wEKRp44kNv4,211000,4
563,Mac DeMarco,Another One,63q9LqTK5iiZLy3cTvLMUf,67,0.694,0.407,1,-10.325,0,0.0276,0.823,0.021,0.106,0.719,147.682,audio_features,63q9LqTK5iiZLy3cTvLMUf,spotify:track:63q9LqTK5iiZLy3cTvLMUf,https://api.spotify.com/v1/tracks/63q9LqTK5iiZLy3cTvLMUf,https://api.spotify.com/v1/audio-analysis/63q9LqTK5iiZLy3cTvLMUf,160991,4
564,Bad Company,Deal with the Preacher - 2015 Remaster,4vUVwFExC0FkVWM7FmaBFa,7,0.48,0.803,7,-8.059,1,0.0677,0.0628,0.0,0.19,0.815,125.446,audio_features,4vUVwFExC0FkVWM7FmaBFa,spotify:track:4vUVwFExC0FkVWM7FmaBFa,https://api.spotify.com/v1/tracks/4vUVwFExC0FkVWM7FmaBFa,https://api.spotify.com/v1/audio-analysis/4vUVwFExC0FkVWM7FmaBFa,302360,4
565,Cam,Burning House,2zhk0kypGeOPsaaZcjyc14,65,0.728,0.253,0,-8.427,1,0.0304,0.887,1.11e-05,0.133,0.457,140.923,audio_features,2zhk0kypGeOPsaaZcjyc14,spotify:track:2zhk0kypGeOPsaaZcjyc14,https://api.spotify.com/v1/tracks/2zhk0kypGeOPsaaZcjyc14,https://api.spotify.com/v1/audio-analysis/2zhk0kypGeOPsaaZcjyc14,231333,4
